Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045
Niue,0.1,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,134.9,116.1,124.5,122.3,7.7,6.1,7.0,7.6,158.3,120.9,122.7,116.2,9.6,7.3,7.5,7.7,0,33.7,36.8,37.6,0,1.7,2.0,2.1,113.9,125.0,118.8,980.5,1076.6,1022.7
Northern Mariana Islands,0.0,8.3,9.2,10.1,0.0,23.4,25.0,26.2,0.0,2.7,3.0,3.3,0.0,7.4,7.9,8.2,0,2.2,2.4,2.5,0,4.5,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Norway,202.1,190.7,205.2,232.0,4.7,3.6,4.1,4.4,312.8,404.0,447.6,517.3,7.4,5.4,5.9,6.3,0,213.7,228.6,249.5,0,4.8,5.2,5.2,2129.7,2230.4,2398.1,11166.4,11694.3,12573.7
Oman,138.4,445.6,639.9,897.0,10.5,13.8,15.0,15.4,148.8,218.4,278.1,358.2,9.6,6.9,7.1,7.2,0,195.6,233.8,278.7,0,4.8,5.0,5.0,376.6,498.7,581.7,845.2,1119.4,1305.5
Pakistan,6349.2,32964.5,42850.7,62018.5,7.9,30.8,32.8,33.6,7198.0,10573.3,13358.8,18727.9,8.5,9.4,9.9,10.2,0,2412.4,3007.5,4215.4,0,2.1,2.1,2.1,2639.9,3271.9,4354.5,80.1,99.3,132.1
Palau,1.4,1.9,2.0,2.1,11.1,17.0,18.2,19.1,1.1,0.8,0.9,0.9,9.4,7.4,7.9,8.2,0,0.6,0.7,0.7,0,4.5,4.6,4.6,3.8,3.9,3.8,2012.5,2054.2,1986.7
Panama,196.2,236.0,290.9,369.6,9.4,8.2,8.9,9.3,128.5,329.6,395.4,487.2,6.0,11.8,12.4,12.7,0,334.2,409.9,524.5,0,9.9,10.3,10.5,344.6,398.8,456.5,1460.5,1689.9,1934.7
Papua New Guinea,216.8,724.0,901.4,1229.7,7.6,16.7,16.7,16.8,262.7,322.2,410.6,577.0,8.3,7.4,7.9,8.2,0,980.9,1216.0,1621.5,0,20.5,20.2,20.1,121.6,146.2,191.6,167.9,201.9,264.7
Paraguay,205.0,274.6,333.4,447.1,6.5,7.5,8.3,8.8,190.4,454.9,551.5,709.3,5.8,10.8,11.4,11.7,0,471.2,580.6,772.4,0,9.9,10.3,10.5,365.5,443.1,527.0,1331.3,1613.8,1919.4
Peru,942.2,1300.7,1587.9,1970.6,6.0,4.8,5.3,5.5,988.5,2516.7,2928.1,3503.8,6.0,10.8,11.4,11.7,0,2898.2,3366.9,4047.3,0,9.9,10.3,10.5,1731.8,1988.8,2218.8,1331.5,1529.0,1705.9
Philippines,4219.7,4303.9,5456.3,7503.9,9.7,7.1,7.8,8.2,6411.1,4195.8,5222.3,6960.2,14.3,6.7,7.2,7.4,0,1466.1,1802.5,2350.3,0,2.3,2.5,2.5,1940.3,2349.5,3023.9,450.8,545.9,702.6
Poland,3057.5,2677.0,2810.9,2751.6,9.0,6.8,7.8,8.5,5223.9,2446.4,2416.9,2393.7,16.4,6.8,7.4,7.7,0,747.7,757.9,700.8,0,2.2,2.4,2.5,2661.7,2637.2,2341.0,994.3,985.1,874.5
Portugal,1021.4,994.1,1012.8,970.7,9.6,9.1,10.3,11.0,1113.8,1064.9,1069.5,1011.6,11.2,10.5,11.4,12.1,0,270.8,269.6,242.8,0,2.8,3.1,3.2,2279.7,2201.9,1959.2,2293.3,2215.0,1970.9
Puerto Rico,388.5,413.4,429.7,392.1,13.0,13.3,15.0,15.9,178.0,285.0,296.2,263.5,6.3,11.8,12.4,12.7,0,335.3,351.4,314.3,0,9.9,10.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,216.9,394.9,556.1,795.5,19.8,19.5,21.7,22.8,212.9,360.6,452.2,578.6,16.6,12.9,13.5,13.8,0,313.7,369.8,423.3,0,8.8,8.9,8.9,796.7,1015.2,1215.3,2017.2,2570.6,3077.2
Réunion,92.6,0.0,0.0,0.0,16.0,0.0,0.0,0.0,61.3,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,3186.4,3511.8,3934.2,3860.9,7.5,6.8,7.2,7.8,4869.3,6082.4,6504.6,6031.3,12.2,11.5,12.4,12.8,0,2343.5,2326.1,2046.5,0,4.5,4.6,4.6,8971.2,9182.8,7807.8,2554.6,2614.8,2223.3
Republic of Moldova,80.0,207.3,227.5,223.5,2.7,5.6,6.4,6.8,266.1,142.5,146.2,136.0,9.5,3.5,3.9,4.2,0,77.4,81.8,78.4,0,2.3,2.4,2.5,101.9,120.0,102.9,491.7,579.0,496.3
Romania,1506.3,1199.0,1203.3,1128.5,7.7,6.5,7.1,7.5,1750.4,635.0,621.5,512.9,9.6,3.5,3.9,4.2,0,381.8,377.8,341.4,0,2.2,2.4,2.5,1115.3,1069.9,944.1,930.2,892.3,787.4
Russian Federation,12593.2,7392.1,7899.5,7332.2,9.7,5.6,6.4,6.8,11989.8,3124.3,3086.0,2617.8,10.0,3.5,3.9,4.2,0,2823.9,2866.2,2660.7,0,2.3,2.4,2.5,12860.9,14581.7,12559.3,1739.8,1972.6,1699.0
Rwanda,126.2,297.0,444.7,720.2,3.1,6.5,7.3,7.4,420.7,777.8,1084.0,1810.7,9.2,19.2,21.1,22.5,0,340.9,514.0,790.9,0,6.7,7.4,7.4,68.5,90.3,133.9,230.7,304.0,450.8
Saint Kitts and Nevis,2.9,6.4,7.3,8.2,8.5,16.1,18.2,19.8,3.7,2.0,2.3,2.5,11.0,5.3,5.8,6.2,0,2.8,3.2,3.6,0,9.9,10.3,10.5,6.7,7.4,7.6,1055.7,1153.3,1188.0
Saint Lucia,8.6,15.9,18.9,22.1,8.4,11.7,13.2,14.1,11.6,6.7,7.8,8.9,11.0,5.0,5.5,5.8,0,8.8,10.1,11.5,0,9.9,10.3,10.5,14.4,15.9,17.1,905.0,1001.6,1077.1
Saint Vincent and the Grenadines,5.8,6.5,7.3,7.9,8.8,8.0,8.8,9.2,7.3,4.0,4.6,5.0,10.9,5.0,5.5,5.8,0,2.2,2.5,2.6,0,2.6,2.9,3.1,5.9,6.5,6.8,902.9,995.2,1039.4
Samoa,6.6,7.7,9.3,11.7,7.7,9.2,10.4,10.9,5.9,6.7,7.9,10.0,6.6,7.1,7.6,7.9,0,12.1,14.0,17.7,0,13.5,13.2,13.0,4.3,4.8,6.3,558.1,630.6,817.9
San Marino,1.8,2.7,2.9,3.0,5.5,7.4,8.2,8.9,2.2,2.7,2.8,2.9,7.6,8.4,9.0,9.4,0,0.9,0.9,0.9,0,2.8,3.1,3.2,10.5,10.8,10.1,3852.2,3951.2,3707.9
Sao Tome and Principe,3.6,6.1,8.2,12.9,5.5,5.5,5.9,6.0,5.7,10.6,13.6,20.7,8.9,11.3,11.5,11.9,0,6.1,8.3,12.4,0,4.9,4.9,4.8,4.0,5.2,7.6,664.4,850.6,1261.0
Saudi Arabia,2759.6,4274.1,5631.0,7537.3,19.6,18.7,20.4,21.4,177.4,3830.0,4819.4,6319.2,1.3,12.9,13.5,13.7,0,3003.4,3524.6,4073.8,0,8.8,8.9,8.9,7459.5,9041.3,10045.2,1745.3,2115.4,2350.3
Senegal,146.5,189.4,276.4,494.0,3.2,3.1,3.5,3.7,603.4,769.3,1008.9,1631.3,11.7,11.3,11.5,11.9,0,150.4,208.5,349.2,0,2.0,2.1,2.2,56.8,79.2,131.4,299.7,418.4,694.0
Serbia,671.0,796.8,801.1,773.2,7.7,9.1,10.2,10.9,771.5,515.8,499.5,447.1,9.6,7.3,7.5,7.7,0,151.0,151.5,144.3,0,1.7,2.0,2.1,1134.9,1137.2,1044.9,1424.4,1427.3,1311.5
Seychelles,3.5,6.6,7.5,7.6,12.1,8.5,9.1,9.5,2.9,6.6,6.9,6.7,9.1,8.5,8.8,8.9,0,3.3,3.8,4.0,0,4.9,5.4,5.4,6.2,6.7,6.2,940.7,1007.5,927.2
Sierra Leone,72.1,70.6,93.7,144.5,3.2,2.1,2.2,2.3,284.2,372.2,468.4,705.8,11.2,11.3,11.5,11.9,0,184.8,245.1,366.3,0,4.8,4.7,4.7,29.8,38.6,56.1,422.2,546.2,795.1
Singapore,426.7,711.8,872.3,898.9,9.5,11.6,13.3,14.3,524.4,726.4,815.0,799.5,12.4,13.5,14.4,14.8,0,308.0,316.4,295.1,0,6.5,6.4,6.4,1769.6,1894.8,1708.4,2486.1,2662.1,2400.1
Slovakia,275.5,349.7,382.2,395.8,5.7,5.8,6.9,7.7,335.7,179.2,183.6,162.4,7.1,3.5,3.9,4.2,0,108.9,111.9,105.0,0,2.2,2.4,2.5,543.5,564.4,533.3,1554.2,1614.1,1525.1
Slovenia,160.4,137.8,146.3,138.1,7.5,5.8,6.8,7.3,138.5,124.4,124.4,114.0,7.1,7.3,7.5,7.7,0,37.1,39.3,36.8,0,1.7,1.9,2.1,343.9,344.4,301.2,2496.1,2499.8,2186.6
Solomon Islands,34.5,53.3,71.0,110.4,15.3,19.8,21.4,22.3,20.2,22.5,29.4,44.3,8.4,7.4,7.9,8.2,0,39.8,51.2,76.7,0,12.2,12.3,12.3,13.1,16.7,25.0,245.2,313.0,469.8
Somalia,185.1,376.0,576.3,1018.1,4.3,6.5,7.3,7.4,438.3,1099.1,1542.9,2658.1,11.2,19.2,21.2,22.5,0,445.1,713.6,1212.8,0,6.7,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1946.6,4234.0,5445.2,7464.0,7.0,10.8,12.2,13.0,2113.1,3009.6,3764.1,4952.4,7.8,7.6,8.2,8.5,0,13263.0,15832.0,19832.8,0,32.2,33.0,33.3,7200.8,8632.2,10417.4,1700.7,2038.8,2460.4
South Sudan,0.0,246.2,361.8,590.6,0.0,6.5,7.3,7.4,0.0,664.0,888.4,1478.1,0.0,19.2,21.2,21.5,0,286.9,430.4,673.2,0,6.7,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Spain,2840.1,5141.3,5576.0,5647.6,6.3,10.3,11.8,12.7,2747.0,2600.8,2684.5,2657.9,6.8,6.2,6.5,6.8,0,1231.4,1280.1,1170.4,0,2.8,3.1,3.2,15453.6,15625.3,14169.2,3005.8,3039.2,2756.0
Sri Lanka,1079.8,1417.6,1559.5,1749.1,7.5,11.3,12.1,12.6,767.3,833.2,891.2,926.0,5.4,5.7,5.9,6.0,0,694.8,744.8,786.7,0,4.8,5.1,5.3,285.8,302.4,344.6,201.6,213.3,243.1
State of Palestine,124.5,183.0,262.2,445.3,9.2,9.2,10.2,10.6,77.4,112.4,157.3,254.2,5.3,5.7,6.1,6.2,0,280.5,383.8,589.5,0,8.8,8.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,1666.6,3526.6,4734.1,7424.7,8.6,18.9,20.1,20.7,2086.6,2485.9,3333.6,5214.2,10.3,13.2,13.9,14.2,0,1599.0,2135.6,3284.0,0,8.2,8.5,8.7,541.1,710.4,1082.0,153.4,201.5,306.8
Suriname,28.5,49.7,58.4,68.6,8.9,12.7,14.0,14.6,34.5,47.5,55.2,64.8,10.7,12.4,13.3,13.9,0,33.8,38.0,43.2,0,8.7,9.0,9.1,63.5,70.1,80.1,1277.9,1411.4,1611.9
Sweden,386.4,496.2,498.9,541.1,4.2,5.0,5.6,6.0,422.3,812.9,837.7,924.0,5.3,5.4,5.9,6.3,0,389.1,401.1,422.8,0,4.8,5.2,5.2,3808.5,3791.8,3960.2,7674.7,7641.1,7980.3
Switzerland,423.8,389.0,419.1,445.4,5.9,4.6,5.1,5.4,523.9,1249.7,1322.0,1390.6,7.4,15.8,16.9,17.7,0,379.2,406.4,424.0,0,4.9,5.3,5.5,4990.4,5146.0,5092.8,12828.4,13228.3,13091.7
Syrian Arab Republic,889.5,1484.2,2596.0,3760.1,9.9,14.9,15.9,16.4,718.3,826.8,1372.3,1914.5,7.4,8.3,8.7,9.0,0,537.0,867.2,1214.9,0,5.1,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan,1664.5,2457.2,2979.4,3030.7,8.3,9.7,11.5,12.6,2015.7,2765.6,2977.8,2794.2,10.6,11.5,12.4,12.8,0,1071.6,1077.2,964.8,0,4.5,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Tajikistan,155.5,327.6,423.8,600.7,6.3,6.6,7.3,7.7,152.4,133.5,183.3,282.7,6.0,3.3,3.7,4.0,0,268.8,330.1,430.6,0,4.3,4.6,4.8,55.5,72.8,96.6,169.3,222.2,295.0
Thailand,4014.3,6066.6,6735.5,6783.7,7.5,9.7,10.5,11.0,4479.3,8502.5,8979.5,8625.0,8.7,15.5,15.8,16.0,0,1295.5,1403.8,1361.2,0,2.2,2.3,2.4,3973.5,4293.8,4353.4,655.0,707.8,717.6
Timor-Leste,30.0,46.3,59.1,89.8,7.5,8.6,9.4,9.9,37.1,55.0,69.3,98.8,8.5,8.9,9.3,9.5,0,13.2,16.8,24.3,0,2.2,2.4,2.4,14.8,18.7,27.1,320.9,405.0,585.3
Togo,81.2,75.4,102.2,158.7,3.3,2.1,2.2,2.3,327.1,394.5,509.6,787.8,11.8,11.3,11.5,11.9,0,191.9,261.2,404.8,0,4.8,4.7,4.7,15.5,20.3,30.8,205.3,269.7,408.2
Tokelau,0.1,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,6.1,7.4,8.5,10.7,12.7,15.0,16.1,16.6,3.8,4.8,5.4,6.8,7.7,9.8,10.4,10.6,0,0.8,0.9,1.1,0,1.5,1.5,1.5,4.2,4.6,5.8,563.8,622.3,782.9
Trinidad and Tobago,117.5,148.9,166.8,177.6,12.7,12.7,14.4,15.4,103.1,59.5,66.0,69.2,11.1,5.3,5.9,6.2,0,73.6,79.5,80.7,0,6.8,7.2,7.4,180.1,188.4,184.5,1209.7,1265.5,1239.5
Tunisia,629.6,869.4,1016.0,1163.5,9.5,9.6,10.3,10.5,504.0,718.9,788.6,848.5,7.4,10.0,10.3,10.4,0,893.1,1023.2,1188.4,0,9.8,10.1,10.4,536.0,604.7,630.9,616.5,695.5,725.7
Turkey,3502.3,9020.9,10817.8,13386.3,7.9,14.5,16.2,17.0,3161.7,4323.0,4755.2,5335.9,6.9,7.9,8.1,8.3,0,1024.6,1242.3,1565.5,0,1.7,2.0,2.1,9426.0,10516.0,11731.3,1044.9,1165.7,1300.5
Turkmenistan,69.8,223.7,268.9,346.3,2.7,6.7,7.1,7.6,259.5,112.7,146.5,197.4,9.5,3.3,3.7,4.0,0,266.9,321.9,407.7,0,7.6,8.0,8.3,376.0,466.3,554.5,1681.1,2084.8,2479.0
Tuvalu,1.1,1.6,1.9,2.4,19.2,20.3,21.9,23.1,0.5,0.6,0.7,0.8,8.9,7.4,7.9,8.2,0,1.0,1.2,1.5,0,13.5,13.2,13.0,2.6,3.1,3.8,1650.4,1947.2,2378.6
US Virgin Islands,11.8,12.4,11.8,10.0,12.1,12.4,13.7,14.4,9.4,10.7,10.2,8.8,10.4,11.6,12.5,13.0,0,6.5,6.0,5.2,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,307.9,716.0,1059.8,1902.8,2.8,4.6,4.6,4.6,1057.4,2429.5,3661.7,6886.5,8.6,19.2,21.2,22.5,0,380.1,557.6,983.9,0,2.2,2.1,2.2,162.8,234.3,390.0,227.4,327.2,544.6
Ukraine,1196.0,2325.0,2396.4,2215.9,2.9,5.6,6.4,6.8,3862.2,1082.3,1054.6,891.1,10.0,3.5,3.9,4.2,0,874.3,871.0,784.3,0,2.3,2.4,2.5,1454.1,1537.3,1319.8,625.4,661.2,567.7
United Arab Emirates,768.0,990.9,1177.5,1325.8,18.8,16.4,17.2,18.1,817.8,1230.3,1409.7,1489.0,16.3,18.3,19.3,19.7,0,979.8,1040.6,959.9,0,8.8,8.9,8.9,2090.4,2329.3,2080.0,2109.5,2350.6,2099.0
United Kingdom,3063.9,3996.3,4140.6,4408.1,5.2,6.3,7.0,7.5,4119.3,2967.6,3019.4,3202.4,7.4,5.3,5.5,5.7,0,2808.8,2936.8,3081.2,0,4.9,5.3,5.5,23415.4,23815.4,23949.2,5859.3,5959.4,5992.9
United Republic of Tanzania,472.9,2884.0,4209.4,7363.1,2.8,12.3,12.6,12.6,2170.3,3502.8,5079.4,9034.4,12.0,16.7,18.4,19.6,0,3383.4,4842.6,8143.1,0,13.1,13.0,13.0,431.9,610.1,1015.2,149.8,211.5,352.0
United States of America,23721.8,32215.3,34755.3,36289.9,9.4,10.7,12.1,12.9,25948.7,32019.0,34320.2,35690.8,10.6,11.7,12.6,13.1,0,20463.7,21282.2,22528.7,0,8.1,8.4,8.5,379470.2,388934.4,392537.4,11779.2,12073.0,12184.8
Uruguay,148.6,275.6,290.9,325.2,5.7,9.0,10.0,10.9,153.3,300.4,319.2,338.8,6.2,11.8,12.4,12.7,0,371.1,394.4,418.2,0,9.9,10.3,10.5,464.8,490.6,507.6,1686.3,1780.1,1841.5
Uzbekistan,812.9,1351.8,1704.2,2190.9,6.4,7.0,7.7,8.1,764.9,636.6,836.1,1149.8,5.9,3.3,3.7,3.9,0,879.4,1044.4,1192.4,0,4.3,4.6,4.7,277.6,347.4,394.6,205.3,257.0,291.9
Vanuatu,17.3,19.9,26.7,41.3,16.1,15.6,16.9,17.4,9.6,10.5,14.0,21.0,8.5,7.4,7.9,8.2,0,19.5,25.6,37.7,0,13.5,13.2,13.0,5.9,7.6,10.9,297.2,380.7,551.1
Venezuela (Bolivarian Republic of),1674.6,2280.0,3238.0,4079.3,10.2,9.6,11.9,12.7,1071.7,2140.4,2690.0,3184.9,6.3,10.8,11.4,11.7,0,2598.3,3268.7,3864.2,0,9.9,10.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Viet Nam,1702.7,3994.1,4961.6,6015.3,3.2,6.1,6.7,7.1,5261.6,5898.8,6817.4,7723.1,9.4,8.9,9.3,9.5,0,1481.9,1735.0,1982.5,0,2.2,2.4,2.4,1670.0,2087.3,2353.2,418.1,522.6,589.2
Yemen,727.1,613.9,897.8,1507.1,9.6,5.4,5.7,5.7,639.3,1063.6,1448.2,2256.9,7.4,8.3,8.7,8.9,0,679.4,921.8,1422.5,0,5.1,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,243.8,726.3,1098.2,2045.3,4.8,11.9,13.2,14.0,559.9,513.4,751.2,1296.3,10.9,6.9,7.2,7.4,0,825.3,1199.5,2056.5,0,10.6,10.8,10.8,242.9,344.1,581.5,334.4,473.7,800.7
Zimbabwe,550.9,106.4,142.7,231.5,9.8,2.1,2.2,2.3,351.5,408.3,538.9,818.4,5.5,6.4,6.6,6.7,0,541.8,711.5,1147.6,0,9.6,10.0,10.1,84.6,104.6,159.7,794.4,983.1,1500.4
