Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045,OverWeight,Obesity,QualityOfLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,PollutionIndex
Afghanistan,818.3,1606.7,2172.8,3530.7,7.6,10.9,11,11.3,819.8,1293.7,1792.2,2886.8,7.2,8.3,8.7,9,0,756.1,1048.3,1617.2,0,4.6,4.7,4.7,229.9,306,452.8,143.1,190.4,281.8,22.665,42.61,0,34,43.92,26.98,51.6,84.44
Albania,64.1,241.1,261.4,258.2,2.8,10.2,10.2,10.9,212.5,160.5,160.3,146.8,9.5,7.3,7.5,7.7,0,45,48.5,47,0,1.7,2,2.1,163,179.2,166.1,676.1,743.3,689.1,20.835,18.735,102.88,42.6,46.4,48.95,72.6,77.25
Algeria,1435.1,2013,2527.5,3497.9,7,7.1,7.6,8.1,1186.8,1590.6,1964.9,2558,5.7,5.2,5.5,5.6,0,2966.9,3610.5,4775,0,9.8,10.1,10.4,1736.8,2092.9,2533,862.8,1039.7,1258.3,20.835,14.43,102.52,43.6,48.17,54.42,67.6,63.71
American Samoa,0,7.8,8.4,8.9,0,20.3,21.7,23.1,0,2.6,2.8,2.9,0,8.2,7.9,8.2,0,5.3,5.4,5.5,0,13.5,13.2,13,0,0,0,0,0,0,28.035,68.455,0,160.4,61.27,47.44,0,78.45
Andorra,4.8,8,8.7,8.9,5.4,9.7,11,11.9,6,6.1,6.4,6.5,7.5,8.4,8.4,9.4,0,2,2.1,2,0,2.8,3.1,3.2,24.6,25.1,23.5,3063.9,3121.4,2927.2,24.12,58.01,0,27.2,46.85,76.85,70.4,68.55
Angola,185.3,584.5,830.4,1453.6,2.9,4.6,4.9,5,628.9,1031.7,1498.8,2619.7,9.1,6.9,7.2,7.4,0,1419.6,2039.1,3587.8,0,9.6,10,10.1,303.8,427.4,718.1,519.8,731.4,1228.6,21.87,9.55,0,13.6,75.07,88.89,31.6,21.96
Anguilla,185.3,0,0,0,2.9,0,0,0,628.9,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,77,76.18,77.08,63.4,0
Antigua and Barbuda,7.3,8.5,10.2,11.7,12.5,11.7,13.2,14.1,6.3,3.9,4.6,5.2,11,5.3,5.8,6.2,0,5,5.7,6.6,0,9.9,10.5,10.5,8.7,9.7,9.9,1015.8,1129.7,1161.9,22.685,47.42,0,86.2,39.55,30.56,0,74.04
Argentina,1531.8,1806.8,2086,2552,5.5,5.4,6.1,6.4,1699.1,3611.6,4058.9,4751.8,6.2,11.8,12.4,12.7,0,4400.1,4963.9,5826.8,0,9.9,10.3,10.5,2566.4,2860,3258.1,1420.4,1582.9,1803.2,14.155,13.24,114.53,64.8,36.09,68.09,67.4,30.78
Armenia,191.7,133.6,153.6,155.4,8.5,5.6,6.4,6.8,169.4,71.2,75.1,69.4,7.6,3.5,3.9,3.9,0,51.5,56.1,56.9,0,2.3,2.4,2.5,156.8,195.2,174.3,1174.3,1462.5,1305.3,15.13,15.53,119.09,39,77.92,56.17,56.4,36.53
Aruba,11.7,4.1,3.9,3.7,12.4,4.3,4.6,4.6,9.6,5.2,5.6,5.2,10.9,5.3,5.8,6.2,0,8,8.6,8.6,0,9.9,10.3,10.5,0,0,0,0,0,0,36.905,31.3,0,81.6,69.23,78.7,72.4,21.58
Australia,1292.1,1491.8,1693,1935.2,6.6,6.4,7.4,8,1585.8,1904,2129.1,2413.8,8.6,8.8,9.7,10.2,0,1071.2,1161.9,1312.8,0,4.5,4.6,4.6,8867.1,9588,10405.7,5944,6427.3,6975.4,34.33,18.625,184.99,63.4,52.96,73.44,68,26.95
Austria,571,447.1,477.6,497.3,6.6,4.6,5.3,5.8,573.9,1387,1436.2,1443.8,7.3,16.7,17.9,18.7,0,179,184.7,179.5,0,2.2,2.4,2.5,2939.3,3031,2894.2,6574.7,6779.7,6473.8,32.23,9.77,188.06,34.2,70.49,77.07,70,22.12
Azerbaijan,167.1,397.1,499.3,573.6,2.8,5.6,6.4,6.8,591.5,236.5,268.9,272.5,9.5,3.5,3.9,4.2,0,166.6,195.2,217.4,0,2.3,2.4,2.5,191.6,247.7,265.8,482.4,623.9,669.3,15.575,16.065,112.27,41.2,68.52,47.87,69.6,36.71
Bahamas,28.8,25.6,31.2,36.9,12.1,8.8,10,10.6,25.2,14.8,18,21.2,10.6,5.3,5.8,6.2,0,38,44.2,50.4,0,9.9,10.5,10.5,63.8,71.8,77.6,2496.6,2808.8,3037.8,42.115,26.93,0,87.4,50.33,63.21,55.8,61.34
Bahrain,150.8,119.8,156.8,210.2,19.5,11.3,11.9,12.6,140.6,201.9,255,321.2,16.3,12.9,13.5,13.7,0,166.4,198.4,230.1,0,8.8,8.9,8.9,158.7,201.7,237.2,1324.9,1683.3,1980,25.84,45.25,154.54,73.8,42.77,66.6,71,70.25
Bangladesh,8405.6,13136.3,16822,22294.1,10.5,14.2,15,15.3,2141.1,5011.4,6395.6,8500.5,2.8,5.5,5.7,5.9,0,17550.3,21403.2,26456.4,0,18.1,18.2,18.3,1005.4,1174.7,1390,76.5,89.4,105.8,11.83,51.2,70.92,10.8,38.25,42.19,41,85.58
Barbados,29.1,38.8,42.6,41.6,12.4,14,16.1,17.3,24,13.5,14.6,14.2,10.9,5.3,5.8,6.2,0,9.4,9.9,9.5,0,4,4.3,4.4,43,43.6,39.9,1106.4,1122.8,1028.1,37.835,21.015,0,67.6,52.99,40.74,64.8,84.24
Belarus,676.6,483,526.6,481.9,8,5.6,6.4,6.8,802,184.6,179,150,10.1,3.5,3.9,4.2,0,187.5,192.4,176.3,0,2.3,2.4,2.5,494.3,583,498,1023.5,1207.3,1031.1,13.025,16.735,124.31,37.8,49.38,48.07,68.2,44.96
Belgium,514.9,404.9,437.9,442.6,4.8,3.6,4.1,4.4,753,1599.3,1667.7,1676.1,7.6,15.8,16.9,17.6,0,484.6,510.8,511.8,0,4.9,5.3,5.5,2604.6,2666.5,2552.6,6433.2,6568.2,6304.9,13.33,8.53,162.15,32.6,76.38,75.38,67.8,49.72
Belize,24.5,32.2,42.5,58.8,17,14.5,15.7,16.4,15.8,10.5,14.1,20.4,10.8,5,5.5,5.8,0,19.6,25.5,34.8,0,8.7,9,9.1,26.7,32.6,40.5,830.5,1013.2,1259.6,22.87,30.925,0,67.6,46.85,47.37,65,85.52
Benin,70.6,50.4,71.5,123.7,2,1.1,1.2,1.2,440.1,569,741,1178.4,11.7,11.3,11.5,11.9,0,291.4,401.5,647.1,0,4.9,4.9,4.8,9.2,12.8,21.4,181.6,253.8,424.5,10.185,0.93,0,0,84.59,51.39,0,4.91
Bermuda,6.5,6.9,6.8,6.1,12,13,14.1,14.8,5.3,5.9,5.9,5.3,10.5,11.6,12.5,13,0,3.8,3.7,3.4,0,8.1,8.4,8.5,0,0,0,0,0,0,64.965,47.51,180.79,68.8,38.82,70.61,80.4,82.5
Bhutan,21.5,44.8,59.5,84.2,5.7,10.4,11.2,11.6,11.8,24.9,31.6,41.6,3,5.5,5.7,5.9,0,38.8,45.1,54.6,0,7.8,8.2,8.3,8.7,10.7,12.3,194.7,239.4,274.4,21.85,39.175,0,22.8,66.36,62.64,67,51.61
Bolivia,303.3,395.9,502.4,722.8,6.6,5.5,6.1,6.4,347.2,503.1,615.1,826.2,7.1,7.3,8,8.4,0,809,1006.3,1358.9,0,9.9,10.3,10.5,355.9,427.3,558.3,898.8,1079.3,1410.2,13.535,18.625,0,52.4,73.55,46.26,74.2,36.71
Bosnia and Herz.,264.9,305.9,322.3,295.8,7.5,9.1,10.2,10.9,306.5,200.2,199.5,171.7,9.5,7.3,7.5,7.7,0,58.8,62.2,56,0,1.7,2,2.1,344.2,370,329.4,1125.2,1209.7,1076.7,18.67,28.59,133.1,44.6,58.74,57.41,80.8,61.34
Botswana,93.9,69.1,95.6,148.5,10.8,5.2,5.9,6.3,84,102.8,135.2,190.6,8.8,6.9,7.2,7.4,0,60.9,80.1,114.6,0,4.2,4.4,4.5,149,193,259.9,2155.3,2792.3,3759.4,14.75,12.29,0,23.6,73.97,61.12,37.6,70.25
Brazil,12440,15733.6,19224.1,23223.6,10.1,8.8,10.2,10.9,5354.5,17774.9,20249.9,22468.8,4.3,10.8,11.4,11.7,0,21425.6,24361.5,26930.1,0,9.9,10.3,10.5,42928.5,48308.7,51441.2,2728.5,3070.4,3269.5,16.255,31.3,111.22,51.8,50.03,56.28,68.8,85.58
British Virgin Islands,1.3,1.9,3.1,3.4,8.6,8.7,14.1,14.8,1.6,2.4,2.7,3,10.9,11.6,12.5,13,0,1.7,1.8,1.9,0,8.1,8.4,8.5,0,0,0,0,0,0,19.055,28.065,0,71,59.31,65.28,78.4,84.24
Brunei Darussalam,19.3,35,42,47.3,9.4,11.1,11.8,12,28.8,49.2,56.9,63.7,11.9,15.5,15.9,16,0,7.3,9.3,11.5,0,2.5,2.9,2.9,31.5,34.1,32.8,901.3,975.2,938.7,24.395,42.68,0,56.4,70.91,48.45,69.2,44.96
Bulgaria,531.6,519.3,492.1,436.6,6.7,7.4,8.3,8.7,126.2,88.3,83.3,73.9,1.7,1.4,1.6,1.7,0,147.1,138.3,119.6,0,2.3,2.4,2.5,982.7,915.6,796.3,1892.4,1763.3,1533.5,19.055,22.385,138.21,26.6,63.04,57.83,80.2,49.72
Burkina Faso,175.1,164.4,230.7,389.5,3,2.1,2.2,2.3,662.4,866.9,1165.7,1958.2,10.1,11.3,11.5,11.9,0,410.6,585.6,992.8,0,4.8,4.7,4.7,31.6,43.9,72.7,192.3,267.2,442.2,13.025,2.715,0,0,83.19,79.78,0,85.52
Burundi,94.2,223.1,355.5,637.8,2.7,6.5,7.3,7.4,326.2,581.7,844.5,1535.4,8.4,19.2,21.2,22.5,0,269.6,431.6,743.8,0,6.7,7.4,7.4,22.9,33.4,55,102.5,149.6,246.7,18.155,18.875,0,0,58.74,34.44,0,4.91
Cabo Verde,13.1,7.3,9.6,12.1,5.4,2.1,2.2,2.3,21.1,35.4,43.4,56.4,8.8,11.3,11.5,11.9,0,19.7,23.2,27.5,0,4.9,4.8,4.8,6.7,8.1,8.4,912.1,1108.9,1143.1,12.625,3.795,0,28.6,82.56,72.22,59.8,82.5
Cambodia,199.4,596,776.2,1094.6,2.9,7.3,8.2,8.6,720.2,633.2,774.9,1023.6,9.7,7.3,7.6,7.8,0,200,247,326,0,2.2,2.3,2.4,155.8,200.7,253.9,261.5,336.8,426,18.96,21.54,74.47,0,47.66,50.51,0,70.25
Cameroon,501.4,620.8,877.2,1484.5,6.1,5.5,5.9,6,693.2,1229,1609.3,2548.1,8.7,11.3,11.5,11.9,0,680.2,931.7,1469.1,0,4.9,4.8,4.8,177.7,242.2,376.6,286.2,390.1,606.7,18.96,4.99,0,0,73.23,40.74,0,85.58
Canada,2716.1,2974,3288.2,3468.5,8.4,7.7,8.9,9.6,3066.4,3710.1,4040.4,4273.8,10.6,10.9,11.9,12.4,0,2484,2625.4,2807.5,0,8.1,8.4,8.5,14284.1,14905.9,15259.4,4802.9,5012,5130.8,23.52,23.71,158.9,48.6,54.7,69.31,71,84.24
Cayman Islands,4.4,6.1,7.2,8.8,12,13,14.1,14.8,3.8,5.3,6.3,7.6,10.5,11.6,12.5,13,0,3.7,4.2,4.9,0,8.1,8.4,8.5,0,0,0,0,0,0,55.41,42.68,0,73.2,38.81,62.28,68,44.96
Central African Rep.,58.2,96.9,130.3,223.9,3.2,5.8,6.2,6.4,226.8,202.5,257.8,403.2,11.3,11.3,11.5,11.9,0,100.8,140.5,221.7,0,4.8,4.7,4.7,25.9,34.8,57.4,267.7,358.7,592.2,18.67,15.29,0,14.4,66.7,41.67,27,49.72
Chad,197.1,268.3,382.6,700.1,3.9,5.8,6.2,6.4,464.1,630.9,840.7,1425.6,10.1,11.3,11.5,11.9,0,287.3,409.2,704.8,0,4.8,4.7,4.7,35.9,50.9,89.2,133.6,189.8,332.4,18.67,15.35,0,0,66.54,44.21,0,85.52
Channel Islands,7.9,10.8,12,12.9,4.9,6.3,7,7.5,10.3,5.5,5.8,6.2,6.9,3.8,3.8,4,0,7.6,8.4,8.8,0,4.9,5.3,5.5,0,0,0,0,0,0,18.865,0,0,0,0,68.26,0,4.91
Chile,1190.1,1747.1,1965.2,2215.7,9.5,10.8,11.9,12.6,761.5,1713.6,1850,1998,6.2,11.8,12.4,12.7,0,2015.8,2160.6,2344.5,0,9.9,10.3,10.5,2767.3,2892.9,2942.9,1583.9,1655.8,1684.5,19.665,40.11,101.95,68.8,40.14,63.24,79.6,82.5
China,90603.2,141606.5,164976,175345.9,23.6,26.2,30.6,33.3,24264.9,170893.8,191799.1,197119.2,28.6,40.4,43,44.1,0,27351.3,29931.8,30015.3,0,15.2,15.1,15.2,165304,185008.2,193142.7,1173.5,1313.3,1371.1,56.96,35.07,116.08,13.02,75.47,26.2,66.14,51.61
Colombia,2609.3,3443.6,4060.3,5014.2,9.8,8.3,8.9,9.9,1633.8,4019.7,4611.5,5295.9,5.9,10.8,11.4,11.7,0,4678.3,5391.2,6235,0,9.9,10.3,10.5,6104.8,6795.4,7374.3,1772.8,1973.3,2141.4,15.065,16.44,104.88,42.6,39.05,68.26,72.4,30.78
Comoros,23.5,34.6,47.8,77.6,8.4,11.7,12.7,13.1,32.9,39.7,52.8,82.6,10.1,12.1,12.5,12.6,0,25.9,38.1,56.1,0,6.9,7.6,7.6,7.1,9.4,14,205.6,272.1,403.7,22.835,48.295,0,0,52.94,44.44,0,69.59
Congo,94.6,151.6,206.4,327.8,5.5,5.5,5.9,6,150.6,272.4,353.6,545.2,8.9,11.3,11.5,11.9,0,153.9,206.8,319,0,4.9,4.9,4.9,38.1,49.1,75.5,251.4,323.8,498.1,0,13.31,0,0,72.55,0,0,55.46
Cook Islands,1,0,0,0,8.6,0,0,0,1.4,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.085,0,0,139.6,74.41,88.89,39.4,72.95
Costa Rica,271.2,361.5,443.1,531.1,9.6,8.8,10.1,10.8,172.8,424.1,491.3,554.2,5.8,10.8,11.4,11.7,0,492.7,578.9,656.1,0,9.9,10.3,10.5,1044.8,1206.5,1276,2890,3337.1,3529.5,26.35,21.765,126.06,50.2,49.63,63.83,78.8,21.58
Croatia,218.8,212.7,213.2,193.9,5.2,4.8,5.4,5.9,304.6,244.9,237.6,207.4,7.2,7.3,7.5,7.7,0,72.3,73.7,66.7,0,1.7,1.9,2.1,254.7,246.6,209.4,1197.5,1159.1,984.4,13.835,10.985,169.58,46,74.27,65,83.4,82.55
Cuba,939,761.3,782.3,750.9,9.4,7.6,7.8,8,557,1086.3,1111.1,1037.9,6,10.8,11.4,11.7,0,1199.1,1225.6,1157.9,0,9.9,10.3,10.5,2373.3,2268.1,2226.6,3117.4,2979.3,2924.7,18.265,22.225,0,31.6,53.13,60.28,63.4,49.72
Curaçao,0,20.3,21.6,21.2,0,11.7,13.2,14.1,0,8,8.5,8.3,0,5.3,5.8,6.2,0,18.3,19,19.3,0,9.9,10.3,10.5,0,0,0,0,0,0,22.87,18.255,0,0,39.29,50.35,0,82.55
Cyprus,81.8,87.5,99.6,115.8,9.3,8.6,9.4,9.9,53,57.4,64.6,73.7,6.1,5.7,6.1,6.4,0,17.8,20.8,24.4,0,1.7,1.9,2.1,224.9,240.1,249,2570.8,2745.4,2846.7,18.96,34.125,152.88,29.2,67.33,57.13,67.6,49.72
Czech Rep,557.4,791.4,799.2,827.9,5.3,7.1,8,8.6,718.5,251.6,249,228.1,7.3,3.5,3.9,4.2,0,216.5,217.6,210.1,0,2.2,2.4,2.5,1723.2,1677.1,1622.6,2177.5,2119.2,2050.3,23.305,20.18,169.77,39.6,54.5,75.54,80.2,34.27
Côte d'Ivoire,406.5,231.2,309.1,497,4.9,2.1,2.2,2.3,677.5,1241.8,1582.6,2460.9,8.2,11.3,11.5,11.9,0,649.1,878.8,1391.3,0,4.9,4.9,4.8,89.4,119.9,187.3,386.6,518.7,810.4,10.45,4.99,0,0,0,86.41,0,15.52
Dem. Rep. Congo,1507.5,1847.1,2070.6,2295.9,8.4,8.6,9.4,9.9,1798.4,1736.1,1869.5,1991.7,10.4,8.9,9.3,9.5,0,770.6,853.2,941.7,0,3.5,3.7,3.8,0,0,0,0,0,0,18.96,26.93,0,0,33.33,56.35,0,16.77
Dem. Rep. Korea,730.7,1908.9,2703.9,4823,3.1,5.8,6.2,6.4,2850.7,3864.3,5125.4,8649.7,10.9,11.3,11.5,11.9,0,1897.7,2710.2,4722.1,0,4.8,4.7,4.7,179.2,253.1,434.5,93.9,132.6,227.6,15.17,16.385,0,0,66.36,36.57,0,0
Denmark,299.5,309.4,304.1,313.5,5.6,5.3,5.9,6.3,460.6,617.1,614.7,631.2,9.9,11.9,12.7,13.3,0,259,257,262.6,0,5.4,5.7,5.9,2426.9,2362.6,2381.7,7844.4,7636.7,7698.3,15.005,13.165,203.73,33,73.87,78.33,68,26.17
Djibouti,26.1,53.7,73.4,96.7,6.3,7.4,8.4,8.5,39.3,108.9,136.7,193.3,9.6,16.7,18.4,19.6,0,50.3,66.4,82.5,0,6.9,7.6,7.6,15.5,17.8,20.5,288.2,330.4,382,16.72,23.355,0,0,53.34,60.64,0,4.91
Dominica,3.9,6.3,7.1,7.7,8.9,11.7,13.2,14.1,4.6,2.6,2.9,3.1,10.7,5,5.4,5.8,0,6,6.5,7,0,9.9,10.3,10.5,8.5,9,9.3,1334.3,1420,1475.4,22.95,48.935,0,40.4,39.28,36.57,49.8,87.84
Dominican Rep,431.6,865.3,1152.9,1466.6,8.1,10.5,12.5,13.2,326,767.8,903.9,1082.6,5.9,10.8,11.4,11.7,0,912.8,1092.9,1319.1,0,9.9,10.3,10.5,1289.4,1514.1,1724.9,1490.1,1749.8,1993.5,21.87,13.77,87.41,33.2,46.05,58.12,56.2,11.9
Ecuador,524.2,526.7,642.1,838,6.6,4.4,4.6,4.7,477.1,1208.8,1457.6,1851.5,5.8,10.8,11.4,11.7,0,1255.6,1527,2001.4,0,9.9,10.3,10.5,1201.2,1388.5,1657.6,2280.5,2636,3146.9,16.245,9.39,120.18,46.76,76.1,67.88,82.6,30.44
Egypt,7323.4,10930.7,13744.8,19975.3,16.6,20.9,22.6,23.5,3304.7,13023.3,15358.6,21453.2,7.4,22.5,22.1,21.9,0,5365.3,6532.9,9281.1,0,9.8,10.1,10.4,0,3317.1,4481.8,0,303.5,410,40.85,9.39,85.59,71.4,27.16,30.56,54.6,37.3
El Salvador,293.1,291.5,350.9,449.4,9.4,6.3,6.9,7.2,177.2,453,518.6,610.5,5.6,10.8,11.4,11.7,0,495.4,582.9,701.9,0,9.9,10.3,10.5,309.5,356.5,404.9,1061.8,1222.9,1388.9,19.47,13.165,0,54.6,59.37,50.2,75.8,106.03
Equatorial Guinea,14,39.4,54,94.4,4.2,5.5,5.9,6,25.8,74,95,149.7,7.6,11.3,11.5,11.9,0,46.4,62.8,94.2,0,4.9,4.8,4.8,67.4,93.1,141.1,0,0,0,14.4,13.48,0,16.6,71.09,69.94,42.8,34.72
Eritrea,95.5,94.2,139,224.7,3.6,6.5,7.3,7.4,217.7,276.2,364.1,587.2,9.6,19.2,21.2,22.5,0,107.3,163.5,249.6,0,6.7,7.4,7.4,10.4,13.8,20.8,110.6,146.8,221.1,25.83,19.075,0,6.8,57.94,55.56,22.2,11.9
Estonia,90.7,83.9,87.5,83.1,7,6.5,7.4,8,93,87.8,91,88.8,7.1,6.8,7.8,8.4,0,25.5,25.5,23.3,0,2.2,2.4,2.5,153.2,151.3,133.9,1826.6,1803.5,1596.6,25.745,18.835,184.25,43.6,76.5,76.08,69.8,38.4
Eswatini,13.9,21.8,27.8,42.2,3.1,4.6,4.9,5,30.4,31.7,39.7,59.2,6.6,6.9,7.2,7.4,0,66,82.6,123.5,0,14.4,15,15.3,24.8,29.6,39.8,1136.2,1356.9,1826.7,0,10.1,0,41,0,0,46.8,0
Ethiopia,1377.3,1920,2740.8,4755.5,3.4,5,5.3,5.4,3266.5,7140.7,10018.1,17391.5,8.9,19.2,21.2,22.5,0,3077.5,4805.4,7625.5,0,6.7,7.4,7.4,200.2,281.2,452.4,104.3,146.4,235.6,14.135,5.855,50.83,2,74.41,53.93,8.8,26.17
Faroe Islands,0,1.8,1.9,2.1,0,3.8,4.3,4.7,0,0.6,0.6,0.6,0,1.2,1.3,1.4,0,1.9,2,2,0,4.8,5.1,5.2,0,0,0,0,0,0,14.155,8.74,0,0,83.19,65.08,0,4.91
Fiji,55.4,99.2,116,139.7,10.9,17.7,19.6,20.7,56.4,41.3,47,54.9,11,7.4,7.9,8.2,0,79.4,87.1,101.1,0,13.5,13.2,13,52,59.5,68.3,524.6,600.1,689,17.015,33.325,0,0,42.73,34.44,0,87.84
Finland,340.3,392.9,388.9,379.2,5.8,6.1,7.1,7.7,381.7,474.5,463.6,449.1,6.7,8.1,9.1,9.8,0,198,194.1,194.2,0,4.5,4.7,4.7,2166.9,2055.4,1960.8,5514.6,5230.8,4990,16.255,17.345,197.91,0,73.9,77.57,0,11.9
