Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045,OverWeight,Obesity,QualityOfLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,PollutionIndex
Nicaragua,20.6,0,0,0,12,0,0,0,17.2,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,11.535,0,44,85.02,60.02,66.2,14.95
Niger,14.6,49.8,57.2,67.7,8.6,23.4,25,26.2,18.7,16,18.5,21.5,11.1,7.4,7.9,8.2,0,10.7,12.2,13.8,0,4.5,4.6,4.6,0,0,0,0,0,0,18.67,10.255,0,9.8,25.98,27.73,19.6,93.71
Nigeria,312.1,268.7,296.8,319.6,8.6,6.2,7,7.5,419.1,366.2,401.2,429.6,12.3,8.8,9.7,10.2,0,201.5,213.9,228,0,4.5,4.6,4.6,1066.2,1101.2,1116.7,3967.5,4098.1,4155.6,15.005,17.705,47.3,0,61.27,48.45,0,47.86
Niue,282.8,365.8,485,690.6,11,9.3,10.2,10.6,324.7,470.4,587.1,763.8,11.3,12.1,12.6,12.9,0,486.7,603.1,783.4,0,12.5,13.1,13.3,210.9,259.1,315.7,576.5,708.5,863.2,21.245,0,0,122,0,57.41,49.8,67.79
Northern Mariana Islands,3054.5,3623.5,4941.6,7988.3,4.8,3.6,3.7,3.7,5175.1,9418.3,11982.9,18795.9,8.2,11.3,11.5,11.9,0,4929,6724.3,10803,0,4.9,4.9,4.8,1810.6,2472.3,3869.1,499.7,682.3,1067.8,13.465,8.79,0,58.4,66.7,96.3,69.4,33.33
Norway,0.1,0,0,0,9.8,0,0,0,0.1,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.97,55.54,191.92,28,67.33,76.1,70,17.99
Oman,0,8.3,9.2,10.1,0,23.4,25,26.2,0,2.7,3,3.3,0,7.4,7.9,8.2,0,2.2,2.4,2.5,0,4.5,4.6,4.6,0,0,0,0,0,0,21.19,67.105,197.38,61.4,20.04,26.98,71,95.87
Pakistan,202.1,190.7,205.2,232,4.7,3.6,4.1,4.4,312.8,404,447.6,517.3,7.4,5.4,5.9,6.3,0,213.7,228.6,249.5,0,4.8,5.2,5.2,2129.7,2230.4,2398.1,11166.4,11694.3,12573.7,13.12,14.035,104.9,0,76.11,59.49,0,25.97
Palau,138.4,445.6,639.9,897,10.5,13.8,15,15.4,148.8,218.4,278.1,358.2,9.6,6.9,7.1,7.2,0,195.6,233.8,278.7,0,4.8,5,5,376.6,498.7,581.7,845.2,1119.4,1305.5,24.245,0,0,76,66.79,41.67,66,84.08
Panama,6349.2,32964.5,42850.7,62018.5,7.9,30.8,32.8,33.6,7198,10573.3,13358.8,18727.9,8.5,9.4,9.9,10.2,0,2412.4,3007.5,4215.4,0,2.1,2.1,2.1,2639.9,3271.9,4354.5,80.1,99.3,132.1,64.965,20.18,119.86,72.6,56.71,18.52,72.8,77.79
Papua New Guinea,1.4,1.9,2,2.1,11.1,17,18.2,19.1,1.1,0.8,0.9,0.9,9.4,7.4,7.9,8.2,0,0.6,0.7,0.7,0,4.5,4.6,4.6,3.8,3.9,3.8,2012.5,2054.2,1986.7,26.18,5.86,0,13.6,20.04,23.54,50.6,78.81
Paraguay,196.2,236,290.9,369.6,9.4,8.2,8.9,9.3,128.5,329.6,395.4,487.2,6,11.8,12.4,12.7,0,334.2,409.9,524.5,0,9.9,10.3,10.5,344.6,398.8,456.5,1460.5,1689.9,1934.7,12.865,16.735,113.02,46.4,52.84,65.15,69.6,66.16
Peru,216.8,724,901.4,1229.7,7.6,16.7,16.7,16.8,262.7,322.2,410.6,577,8.3,7.4,7.9,8.2,0,980.9,1216,1621.5,0,20.5,20.2,20.1,121.6,146.2,191.6,167.9,201.9,264.7,15.31,16.525,83.6,0,32.41,38.89,0,82.48
Philippines,205,274.6,333.4,447.1,6.5,7.5,8.3,8.8,190.4,454.9,551.5,709.3,5.8,10.8,11.4,11.7,0,471.2,580.6,772.4,0,9.9,10.3,10.5,365.5,443.1,527,1331.3,1613.8,1919.4,18.175,23.56,89.94,18.6,57.13,67.34,57.4,60.35
Poland,942.2,1300.7,1587.9,1970.6,6,4.8,5.3,5.5,988.5,2516.7,2928.1,3503.8,6,10.8,11.4,11.7,0,2898.2,3366.9,4047.3,0,9.9,10.3,10.5,1731.8,1988.8,2218.8,1331.5,1529,1705.9,13.875,11.905,146.93,38,70.6,57.48,78.2,25.97
Portugal,4219.7,4303.9,5456.3,7503.9,9.7,7.1,7.8,8.2,6411.1,4195.8,5222.3,6960.2,14.3,6.7,7.2,7.4,0,1466.1,1802.5,2350.3,0,2.3,2.5,2.5,1940.3,2349.5,3023.9,450.8,545.9,702.6,22.375,28.065,168.5,33.8,53.98,72.78,73.2,59.31
Puerto Rico,3057.5,2677,2810.9,2751.6,9,6.8,7.8,8.5,5223.9,2446.4,2416.9,2393.7,16.4,6.8,7.4,7.7,0,747.7,757.9,700.8,0,2.2,2.4,2.5,2661.7,2637.2,2341,994.3,985.1,874.5,31.01,20.445,147.28,0,56.03,59,0,56.64
Qatar,1021.4,994.1,1012.8,970.7,9.6,9.1,10.3,11,1113.8,1064.9,1069.5,1011.6,11.2,10.5,11.4,12.1,0,270.8,269.6,242.8,0,2.8,3.1,3.2,2279.7,2201.9,1959.2,2293.3,2215,1970.9,20.005,31.645,182.26,82.8,49.16,73.31,57.4,59.65
Romania,12593.2,7392.1,7899.5,7332.2,9.7,5.6,6.4,6.8,11989.8,3124.3,3086,2617.8,10,3.5,3.9,4.2,0,2823.9,2866.2,2660.7,0,2.3,2.4,2.5,12860.9,14581.7,12559.3,1739.8,1972.6,1699,18.67,18.04,136.11,21.8,67.33,56.28,95.4,38.15
Russia,126.2,297,444.7,720.2,3.1,6.5,7.3,7.4,420.7,777.8,1084,1810.7,9.2,19.2,21.1,22.5,0,340.9,514,790.9,0,6.7,7.4,7.4,68.5,90.3,133.9,230.7,304,450.8,14.175,24.365,108.74,60.6,61.13,61.04,68.6,59.37
Rwanda,92.6,0,0,0,16,0,0,0,61.3,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.085,12.105,0,8.6,73.55,71.07,28.6,4.91
Réunion,388.5,413.4,429.7,392.1,13,13.3,15,15.9,178,285,296.2,263.5,6.3,11.8,12.4,12.7,0,335.3,351.4,314.3,0,9.9,10.3,10.5,0,0,0,0,0,0,28.445,42.61,0,0,38.19,71.3,0,83.22
S. Sudan,124.5,183,262.2,445.3,9.2,9.2,10.2,10.6,77.4,112.4,157.3,254.2,5.3,5.7,6.1,6.2,0,280.5,383.8,589.5,0,8.8,8.9,8.9,0,0,0,0,0,0,21.125,32.335,0,0,54.5,57.13,0,67.55
Saint Kitts and Nevis,1666.6,3526.6,4734.1,7424.7,8.6,18.9,20.1,20.7,2086.6,2485.9,3333.6,5214.2,10.3,13.2,13.9,14.2,0,1599,2135.6,3284,0,8.2,8.5,8.7,541.1,710.4,1082,153.4,201.5,306.8,26.665,0,0,90,32.66,40.49,67,89.37
Saint Lucia,2.9,6.4,7.3,8.2,8.5,16.1,18.2,19.8,3.7,2,2.3,2.5,11,5.3,5.8,6.2,0,2.8,3.2,3.6,0,9.9,10.3,10.5,6.7,7.4,7.6,1055.7,1153.3,1188,26.02,58.775,0,69.8,39.08,44.78,60.2,87.69
Saint Vincent and the Grenadines,8.6,15.9,18.9,22.1,8.4,11.7,13.2,14.1,11.6,6.7,7.8,8.9,11,5,5.5,5.8,0,8.8,10.1,11.5,0,9.9,10.3,10.5,14.4,15.9,17.1,905,1001.6,1077.1,22.95,19.475,0,53.8,39.86,31.94,108.4,78.97
Samoa,5.8,6.5,7.3,7.9,8.8,8,8.8,9.2,7.3,4,4.6,5,10.9,5,5.5,5.8,0,2.2,2.5,2.6,0,2.6,2.9,3.1,5.9,6.5,6.8,902.9,995.2,1039.4,20.005,0,0,0,57.94,55.56,0,61.34
San Marino,6.6,7.7,9.3,11.7,7.7,9.2,10.4,10.9,5.9,6.7,7.9,10,6.6,7.1,7.6,7.9,0,12.1,14,17.7,0,13.5,13.2,13,4.3,4.8,6.3,558.1,630.6,817.9,21.19,33.705,0,0,47.54,83.33,0,67.55
Sao Tome and Principe,1.8,2.7,2.9,3,5.5,7.4,8.2,8.9,2.2,2.7,2.8,2.9,7.6,8.4,9,9.4,0,0.9,0.9,0.9,0,2.8,3.1,3.2,10.5,10.8,10.1,3852.2,3951.2,3707.9,16.7,23.395,0,23.4,53.27,86.11,46.6,68.97
Saudi Arabia,3.6,6.1,8.2,12.9,5.5,5.5,5.9,6,5.7,10.6,13.6,20.7,8.9,11.3,11.5,11.9,0,6.1,8.3,12.4,0,4.9,4.9,4.8,4,5.2,7.6,664.4,850.6,1261,15.095,15.235,163.58,40.4,76.11,61.4,76.4,36.21
Senegal,2759.6,4274.1,5631,7537.3,19.6,18.7,20.4,21.4,177.4,3830,4819.4,6319.2,1.3,12.9,13.5,13.7,0,3003.4,3524.6,4073.8,0,8.8,8.9,8.9,7459.5,9041.3,10045.2,1745.3,2115.4,2350.3,26.35,8.74,72.24,12.8,33.33,32.41,31.6,95.87
Serbia,146.5,189.4,276.4,494,3.2,3.1,3.5,3.7,603.4,769.3,1008.9,1631.3,11.7,11.3,11.5,11.9,0,150.4,208.5,349.2,0,2,2.1,2.2,56.8,79.2,131.4,299.7,418.4,694,18.655,23.395,119.04,41.6,76.61,52.27,72.6,20.69
Seychelles,671,796.8,801.1,773.2,7.7,9.1,10.2,10.9,771.5,515.8,499.5,447.1,9.6,7.3,7.5,7.7,0,151,151.5,144.3,0,1.7,2,2.1,1134.9,1137.2,1044.9,1424.4,1427.3,1311.5,21.47,31.995,0,60.6,56.03,63.19,68,36.71
Sierra Leone,3.5,6.6,7.5,7.6,12.1,8.5,9.1,9.5,2.9,6.6,6.9,6.7,9.1,8.5,8.8,8.9,0,3.3,3.8,4,0,4.9,5.4,5.4,6.2,6.7,6.2,940.7,1007.5,927.2,18.925,25.24,0,0,52.58,64.97,0,106.03
Singapore,72.1,70.6,93.7,144.5,3.2,2.1,2.2,2.3,284.2,372.2,468.4,705.8,11.2,11.3,11.5,11.9,0,184.8,245.1,366.3,0,4.8,4.7,4.7,29.8,38.6,56.1,422.2,546.2,795.1,38.55,53.115,159.54,23.2,74.8,71.92,57.2,14.95
Slovakia,426.7,711.8,872.3,898.9,9.5,11.6,13.3,14.3,524.4,726.4,815,799.5,12.4,13.5,14.4,14.8,0,308,316.4,295.1,0,6.5,6.4,6.4,1769.6,1894.8,1708.4,2486.1,2662.1,2400.1,23.035,45.845,152.61,38.2,40.14,58.71,75.6,83.07
Slovenia,275.5,349.7,382.2,395.8,5.7,5.8,6.9,7.7,335.7,179.2,183.6,162.4,7.1,3.5,3.9,4.2,0,108.9,111.9,105,0,2.2,2.4,2.5,543.5,564.4,533.3,1554.2,1614.1,1525.1,15.69,15.855,176.82,39.8,67.09,66.3,76.4,22.12
Solomon Islands,160.4,137.8,146.3,138.1,7.5,5.8,6.8,7.3,138.5,124.4,124.4,114,7.1,7.3,7.5,7.7,0,37.1,39.3,36.8,0,1.7,1.9,2.1,343.9,344.4,301.2,2496.1,2499.8,2186.6,15.925,16.525,0,26.2,62.23,45.83,55,42.87
Somalia,34.5,53.3,71,110.4,15.3,19.8,21.4,22.3,20.2,22.5,29.4,44.3,8.4,7.4,7.9,8.2,0,39.8,51.2,76.7,0,12.2,12.3,12.3,13.1,16.7,25,245.2,313,469.8,13.45,68.405,0,0,34.31,31.94,0,63.41
South Africa,185.1,376,576.3,1018.1,4.3,6.5,7.3,7.4,438.3,1099.1,1542.9,2658.1,11.2,19.2,21.2,22.5,0,445.1,713.6,1212.8,0,6.7,7.4,7.4,0,0,0,0,0,0,16.71,19.155,145.05,52.4,57.91,63.96,47.2,56.7
South Sudan,1946.6,4234,5445.2,7464,7,10.8,12.2,13,2113.1,3009.6,3764.1,4952.4,7.8,7.6,8.2,8.5,0,13263,15832,19832.8,0,32.2,33,33.3,7200.8,8632.2,10417.4,1700.7,2038.8,2460.4,22.675,40.445,0,20.6,18.91,49.9,35.8,56.47
Spain,0,246.2,361.8,590.6,0,6.5,7.3,7.4,0,664,888.4,1478.1,0,19.2,21.2,21.5,0,286.9,430.4,673.2,0,6.7,7.4,7.4,0,0,0,0,0,0,23.345,19.475,183.25,0,64.55,77.86,0,34.72
Sri Lanka,2840.1,5141.3,5576,5647.6,6.3,10.3,11.8,12.7,2747,2600.8,2684.5,2657.9,6.8,6.2,6.5,6.8,0,1231.4,1280.1,1170.4,0,2.8,3.1,3.2,15453.6,15625.3,14169.2,3005.8,3039.2,2756,17.41,8.095,75.66,19.2,57.91,71,55.4,58.45
State of Palestine,1079.8,1417.6,1559.5,1749.1,7.5,11.3,12.1,12.6,767.3,833.2,891.2,926,5.4,5.7,5.9,6,0,694.8,744.8,786.7,0,4.8,5.1,5.3,285.8,302.4,344.6,201.6,213.3,243.1,20.35,45.575,0,63.2,42.22,55.03,59.6,63.68
Suriname,28.5,49.7,58.4,68.6,8.9,12.7,14,14.6,34.5,47.5,55.2,64.8,10.7,12.4,13.3,13.9,0,33.8,38,43.2,0,8.7,9,9.1,63.5,70.1,80.1,1277.9,1411.4,1611.9,21.85,7.965,0,0,47.56,44.46,0,80.9
Sweden,386.4,496.2,498.9,541.1,4.2,5,5.6,6,422.3,812.9,837.7,924,5.3,5.4,5.9,6.3,0,389.1,401.1,422.8,0,4.8,5.2,5.2,3808.5,3791.8,3960.2,7674.7,7641.1,7980.3,16.245,12.04,184.94,32,74.36,68.32,72,26.95
Switzerland,423.8,389,419.1,445.4,5.9,4.6,5.1,5.4,523.9,1249.7,1322,1390.6,7.4,15.8,16.9,17.7,0,379.2,406.4,424,0,4.9,5.3,5.5,4990.4,5146,5092.8,12828.4,13228.3,13091.7,15.565,10.255,200.96,22,74.36,72.5,62,21.96
Syrian Arab Republic,889.5,1484.2,2596,3760.1,9.9,14.9,15.9,16.4,718.3,826.8,1372.3,1914.5,7.4,8.3,8.7,9,0,537,867.2,1214.9,0,5.1,5.3,5.3,0,0,0,0,0,0,25.505,50.42,0,37.8,31.39,37.03,68.4,74.88
Taiwan,1664.5,2457.2,2979.4,3030.7,8.3,9.7,11.5,12.6,2015.7,2765.6,2977.8,2794.2,10.6,11.5,12.4,12.8,0,1071.6,1077.2,964.8,0,4.5,4.6,4.6,0,0,0,0,0,0,22.425,45.575,157.05,16.4,46.42,86.41,0,64.47
Tajikistan,155.5,327.6,423.8,600.7,6.3,6.6,7.3,7.7,152.4,133.5,183.3,282.7,6,3.3,3.7,4,0,268.8,330.1,430.6,0,4.3,4.6,4.8,55.5,72.8,96.6,169.3,222.2,295,12.535,8.215,0,0,55.22,55.46,0,55.46
Thailand,4014.3,6066.6,6735.5,6783.7,7.5,9.7,10.5,11,4479.3,8502.5,8979.5,8625,8.7,15.5,15.8,16,0,1295.5,1403.8,1361.2,0,2.2,2.3,2.4,3973.5,4293.8,4353.4,655,707.8,717.6,16.805,19.625,100.83,23.2,62.23,77.17,66.4,75.63
Timor-Leste,30,46.3,59.1,89.8,7.5,8.6,9.4,9.9,37.1,55,69.3,98.8,8.5,8.9,9.3,9.5,0,13.2,16.8,24.3,0,2.2,2.4,2.4,14.8,18.7,27.1,320.9,405,585.3,22.95,27.6,0,2.2,57.93,44.78,13.6,60.35
Togo,81.2,75.4,102.2,158.7,3.3,2.1,2.2,2.3,327.1,394.5,509.6,787.8,11.8,11.3,11.5,11.9,0,191.9,261.2,404.8,0,4.8,4.7,4.7,15.5,20.3,30.8,205.3,269.7,408.2,12.865,12.495,0,0,81.52,88.89,0,15.27
Tokelau,0.1,0,0,0,11.5,0,0,0,0.1,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.755,122.235,0,126.8,84.9,44.78,45.6,6.47
Tonga,6.1,7.4,8.5,10.7,12.7,15,16.1,16.6,3.8,4.8,5.4,6.8,7.7,9.8,10.4,10.6,0,0.8,0.9,1.1,0,1.5,1.5,1.5,4.2,4.6,5.8,563.8,622.3,782.9,25.745,56.835,0,154.2,39.02,47.87,32.2,84.44
Trinidad and Tobago,117.5,148.9,166.8,177.6,12.7,12.7,14.4,15.4,103.1,59.5,66,69.2,11.1,5.3,5.9,6.2,0,73.6,79.5,80.7,0,6.8,7.2,7.4,180.1,188.4,184.5,1209.7,1265.5,1239.5,24.12,20.66,80.47,51.4,29.3,54.07,60,82.48
Tunisia,629.6,869.4,1016,1163.5,9.5,9.6,10.3,10.5,504,718.9,788.6,848.5,7.4,10,10.3,10.4,0,893.1,1023.2,1188.4,0,9.8,10.1,10.4,536,604.7,630.9,616.5,695.5,725.7,13.835,36.21,115.28,0,55.68,57.41,0,70.18
Turkey,3502.3,9020.9,10817.8,13386.3,7.9,14.5,16.2,17,3161.7,4323,4755.2,5335.9,6.9,7.9,8.1,8.3,0,1024.6,1242.3,1565.5,0,1.7,2,2.1,9426,10516,11731.3,1044.9,1165.7,1300.5,24.705,53.115,129.1,40.4,36.38,45.73,71.2,85.58
Turkmenistan,69.8,223.7,268.9,346.3,2.7,6.7,7.1,7.6,259.5,112.7,146.5,197.4,9.5,3.3,3.7,4,0,266.9,321.9,407.7,0,7.6,8,8.3,376,466.3,554.5,1681.1,2084.8,2479,53.945,8.79,0,30,52.63,49.83,66.8,55.74
Tuvalu,1.1,1.6,1.9,2.4,19.2,20.3,21.9,23.1,0.5,0.6,0.7,0.8,8.9,7.4,7.9,8.2,0,1,1.2,1.5,0,13.5,13.2,13,2.6,3.1,3.8,1650.4,1947.2,2378.6,38.55,62.445,0,124.4,29.3,44.46,46.4,89.79
Uganda,307.9,716,1059.8,1902.8,2.8,4.6,4.6,4.6,1057.4,2429.5,3661.7,6886.5,8.6,19.2,21.2,22.5,0,380.1,557.6,983.9,0,2.2,2.1,2.2,162.8,234.3,390,227.4,327.2,544.6,14.135,8.53,0,18.6,45.44,50.17,29.2,17.73
Ukraine,1196,2325,2396.4,2215.9,2.9,5.6,6.4,6.8,3862.2,1082.3,1054.6,891.1,10,3.5,3.9,4.2,0,874.3,871,784.3,0,2.3,2.4,2.5,1454.1,1537.3,1319.8,625.4,661.2,567.7,13.12,19.075,109.75,49.6,70.49,55.59,68.6,38.37
United Arab Emirates,768,990.9,1177.5,1325.8,18.8,16.4,17.2,18.1,817.8,1230.3,1409.7,1489,16.3,18.3,19.3,19.7,0,979.8,1040.6,959.9,0,8.8,8.9,8.9,2090.4,2329.3,2080,2109.5,2350.6,2099,27.235,62.445,176.36,55.6,34.85,27.73,80.2,87.82
United Kingdom,3063.9,3996.3,4140.6,4408.1,5.2,6.3,7,7.5,4119.3,2967.6,3019.4,3202.4,7.4,5.3,5.5,5.7,0,2808.8,2936.8,3081.2,0,4.9,5.3,5.5,23415.4,23815.4,23949.2,5859.3,5959.4,5992.9,30.31,18.255,168.71,40.2,52.27,73.26,71.2,40.55
United Republic of Tanzania,472.9,2884,4209.4,7363.1,2.8,12.3,12.6,12.6,2170.3,3502.8,5079.4,9034.4,12,16.7,18.4,19.6,0,3383.4,4842.6,8143.1,0,13.1,13,13,431.9,610.1,1015.2,149.8,211.5,352,12.17,11.905,17.88,0,39.05,41.79,0,63.54
United States,23721.8,32215.3,34755.3,36289.9,9.4,10.7,12.1,12.9,25948.7,32019,34320.2,35690.8,10.6,11.7,12.6,13.1,0,20463.7,21282.2,22528.7,0,8.1,8.4,8.5,379470.2,388934.4,392537.4,11779.2,12073,12184.8,22.49,68.405,182.25,85.4,44.98,67.94,62.4,36.53
Uruguay,148.6,275.6,290.9,325.2,5.7,9,10,10.9,153.3,300.4,319.2,338.8,6.2,11.8,12.4,12.7,0,371.1,394.4,418.2,0,9.9,10.3,10.5,464.8,490.6,507.6,1686.3,1780.1,1841.5,27.42,27.6,142.63,47.4,48.03,68.45,69.6,66.16
US Virgin Islands,11.8,12.4,11.8,10,12.1,12.4,13.7,14.4,9.4,10.7,10.2,8.8,10.4,11.6,12.5,13,0,6.5,6,5.2,0,8.1,8.4,8.5,0,0,0,0,0,0,48.84,33.305,0,0,38.43,45.37,0,78.81
Uzbekistan,812.9,1351.8,1704.2,2190.9,6.4,7,7.7,8.1,764.9,636.6,836.1,1149.8,5.9,3.3,3.7,3.9,0,879.4,1044.4,1192.4,0,4.3,4.6,4.7,277.6,347.4,394.6,205.3,257,291.9,20.465,17.705,122.23,0,54.7,54.93,0,56.64
Vanuatu,17.3,19.9,26.7,41.3,16.1,15.6,16.9,17.4,9.6,10.5,14,21,8.5,7.4,7.9,8.2,0,19.5,25.6,37.7,0,13.5,13.2,13,5.9,7.6,10.9,297.2,380.7,551.1,26.01,57.915,0,29.8,60.8,40.51,55.6,87.82
Venezuela,1674.6,2280,3238,4079.3,10.2,9.6,11.9,12.7,1071.7,2140.4,2690,3184.9,6.3,10.8,11.4,11.7,0,2598.3,3268.7,3864.2,0,9.9,10.3,10.5,0,0,0,0,0,0,18.865,37.715,77.54,49.2,18.98,57.13,69,68.62
Vietnam,1702.7,3994.1,4961.6,6015.3,3.2,6.1,6.7,7.1,5261.6,5898.8,6817.4,7723.1,9.4,8.9,9.3,9.5,0,1481.9,1735,1982.5,0,2.2,2.4,2.4,1670,2087.3,2353.2,418.1,522.6,589.2,14.16,19.155,95.45,3.4,57.93,61.37,27.8,84.24
Yemen,727.1,613.9,897.8,1507.1,9.6,5.4,5.7,5.7,639.3,1063.6,1448.2,2256.9,7.4,8.3,8.7,8.9,0,679.4,921.8,1422.5,0,5.1,5.3,5.3,0,0,0,0,0,0,16.145,9.77,0,0,69.65,70.41,0,32.52
Zambia,243.8,726.3,1098.2,2045.3,4.8,11.9,13.2,14,559.9,513.4,751.2,1296.3,10.9,6.9,7.2,7.4,0,825.3,1199.5,2056.5,0,10.6,10.8,10.8,242.9,344.1,581.5,334.4,473.7,800.7,18.995,10.245,0,15,39.08,54.44,33.4,80.9
Zimbabwe,550.9,106.4,142.7,231.5,9.8,2.1,2.2,2.3,351.5,408.3,538.9,818.4,5.5,6.4,6.6,6.7,0,541.8,711.5,1147.6,0,9.6,10,10.1,84.6,104.6,159.7,794.4,983.1,1500.4,12.91,8.095,90.62,15.4,79.04,96.3,32.6,15.52
